SEASON_NUMBER,STARTUP_NAME,EPISODE_NUMBER,PITCH_NUMBER,SEASON_START,SEASON_END,ORIGINAL_AIR_DATE,INDUSTRY,BUSINESS_DESCRIPTION,COMPANY_WEBSITE,PITCHERS_GENDER,PITCHERS_AVERAGE_AGE,PITCHERS_CITY,PITCHERS_STATE,ENTREPRENEUR_NAMES,MULTIPLE_ENTREPRENEURS,US_VIEWERSHIP,ORIGINAL_ASK_AMOUNT,ORIGINAL_OFFERED_EQUITY,VALUATION_REQUESTED,GOT_DEAL,TOTAL_DEAL_AMOUNT,TOTAL_DEAL_EQUITY,DEAL_VALUATION,NUMBER_OF_SHARKS_IN_DEAL,INVESTMENT_AMOUNT_PER_SHARK,EQUITY_PER_SHARK,ROYALTY_DEAL,ADVISORY_SHARES_EQUITY,LOAN,DEAL_HAS_CONDITIONS,BARBARA_CORCORAN_INVESTMENT_AMOUNT,BARBARA_CORCORAN_INVESTMENT_EQUITY,MARK_CUBAN_INVESTMENT_AMOUNT,MARK_CUBAN_INVESTMENT_EQUITY,LORI_GREINER_INVESTMENT_AMOUNT,LORI_GREINER_INVESTMENT_EQUITY,ROBERT_HERJAVEC_INVESTMENT_AMOUNT,ROBERT_HERJAVEC_INVESTMENT_EQUITY,DAYMOND_JOHN_INVESTMENT_AMOUNT,DAYMOND_JOHN_INVESTMENT_EQUITY,KEVIN_O_LEARY_INVESTMENT_AMOUNT,KEVIN_O_LEARY_INVESTMENT_EQUITY,GUEST_INVESTMENT_AMOUNT,GUEST_INVESTMENT_EQUITY,GUEST_NAME,BARBARA_CORCORAN_PRESENT,MARK_CUBAN_PRESENT,LORI_GREINER_PRESENT,ROBERT_HERJAVEC_PRESENT,DAYMOND_JOHN_PRESENT,KEVIN_O_LEARY_PRESENT,GUEST_PRESENT
1,AvaTheElephant,1,1,9-Aug-09,5-Feb-10,9-Aug-09,Health/Wellness,Ava The Elephant - Baby and Child Care,http://www.avatheelephant.com/,Female,,Atlanta,GA,Tiffany Krumins,0.0,4.15,50000.0,15.0,333333.0,1.0,50000.0,55.0,90909.0,1.0,50000.0,55.0,,,,,50000.0,55.0,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,MrTod'sPieFactory,1,2,9-Aug-09,5-Feb-10,9-Aug-09,Food and Beverage,Mr. Tod's Pie Factory - Specialty Food,http://whybake.com/,Male,,Somerset,NJ,Tod Wilson,0.0,4.15,460000.0,10.0,4600000.0,1.0,460000.0,50.0,920000.0,2.0,230000.0,25.0,,,,,230000.0,25.0,,,,,,,230000.0,25.0,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,Wispots,1,3,9-Aug-09,5-Feb-10,9-Aug-09,Business Services,Wispots - Consumer Services,http://www.wispots.com/,Male,,Cary,NC,Kevin Flannery,0.0,4.15,1200000.0,10.0,12000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,CollegeFoxesPackingBoxes,1,4,9-Aug-09,5-Feb-10,9-Aug-09,Lifestyle/Home,College Foxes Packing Boxes - Consumer Services,http://collegehunkshaulingjunk.com/,Male,,Tampa,FL,"Nick Friedman, Omar Soliman",0.0,4.15,250000.0,25.0,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,IonicEar,1,5,9-Aug-09,5-Feb-10,9-Aug-09,Technology/Software,Ionic Ear - Novelties,,Male,,St. Paul,MN,Darrin Johnson,0.0,4.15,1000000.0,15.0,6666667.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,APerfectPear,2,6,9-Aug-09,5-Feb-10,16-Aug-09,Food and Beverage,A Perfect Pear - Specialty Food,http://www.aperfectpear.com,Female,,Napa Valley,CA,Susan Knapp,0.0,5.59,500000.0,15.0,3333333.0,1.0,500000.0,50.0,1000000.0,2.0,250000.0,25.0,,,,,,,,,,,250000.0,25.0,,,250000.0,25.0,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,ClassroomJams,2,7,9-Aug-09,5-Feb-10,16-Aug-09,Children/Education,Classroom Jams - Education,http://www.attachnoted.com/,Male,,Chicago,IL,Mark Furigay,0.0,5.59,250000.0,10.0,2500000.0,1.0,250000.0,100.0,250000.0,5.0,50000.0,20.0,yes,,,,50000.0,20.0,50000.0,20.0,,,50000.0,20.0,50000.0,20.0,50000.0,20.0,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,Lifebelt,2,8,9-Aug-09,5-Feb-10,16-Aug-09,Automotive,Lifebelt - Automotive,,Male,,Las Vegas,NV,Robert Alison,0.0,5.59,500000.0,10.0,5000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,CrookedJaw,2,9,9-Aug-09,5-Feb-10,16-Aug-09,Fashion/Beauty,Crooked Jaw - Men and Women's Apparel,http://crookedjawfashions.com/,Male,,Hollywood,CA,Craig French,0.0,5.59,200000.0,20.0,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,StickyNoteHolder,2,10,9-Aug-09,5-Feb-10,16-Aug-09,Lifestyle/Home,Sticky Note Holder - Productivity Tools,,Female,,Gardena,CA,Mary Ellen Simonson,0.0,5.59,100000.0,20.0,500000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,TurboBaster,3,11,9-Aug-09,5-Feb-10,23-Aug-09,Food and Beverage,TurboBaster - Kitchen Tools,,Female,,San Francisco,CA,Marian Cruz,0.0,5.45,35000.0,35.0,100000.0,1.0,35000.0,100.0,35000.0,1.0,35000.0,100.0,yes,,,,,,,,,,,,,,,,35000.0,100.0,Kevin Harrington,1.0,0.0,0.0,1.0,1.0,1.0,
1,StressFreeKids,3,12,9-Aug-09,5-Feb-10,23-Aug-09,Children/Education,Stress Free Kids - Baby and Child Care,http://www.stressfreekids.com,Female,,Marietta,GA,Lori Lite,0.0,5.45,250000.0,20.0,1250000.0,1.0,250000.0,50.0,500000.0,1.0,250000.0,50.0,,,,,250000.0,50.0,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,KwyztaChopstickArt,3,13,9-Aug-09,5-Feb-10,23-Aug-09,Children/Education,Kwyzta Chopstick Art - Kitchen Tools,http://www.chopstickart.com/,Male,,Eugene,OR,Brian Parks,0.0,5.45,100000.0,10.0,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,50StateCapitalsin50Minutes,3,14,9-Aug-09,5-Feb-10,23-Aug-09,Children/Education,50 State Capitals in 50 Minutes - Education,http://www.amazon.com/50-State-Capitals-Fun-Minutes/dp/0967970822,Male,,Dallas,TX,Ken Bradford,0.0,5.45,155000.0,10.0,1550000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,VoyageAirGuitar,3,15,9-Aug-09,5-Feb-10,23-Aug-09,Media/Entertainment,Voyage Air Guitar - Music,http://www.voyageairguitar.com/,Male,,Livermore,CA,Jeff and Josh Cohen,1.0,5.45,500000.0,5.0,10000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,
1,GiftCardRescue,4,16,9-Aug-09,5-Feb-10,30-Aug-09,Technology/Software,Gift Card Rescue - Online Services,http://www.giftcardrescue.com,Male,,Columbia,MD,Kwami Kuadey,0.0,4.89,150000.0,30.0,500000.0,1.0,200000.0,50.0,400000.0,2.0,100000.0,25.0,,,,,,,,,,,100000.0,25.0,,,100000.0,25.0,,,,1.0,0.0,0.0,1.0,1.0,1.0,
