INDUSTRY,Total_Pitches,Total_Investment
Food and Beverage,309,58451000.0
Lifestyle/Home,257,40663000.0
Fashion/Beauty,235,30802500.0
Fitness/Sports/Outdoors,146,27895000.0
Children/Education,133,18896666.0
Health/Wellness,67,18665000.0
Technology/Software,69,12285000.0
Pet Products,61,7999000.0
Media/Entertainment,28,7525000.0
Business Services,42,7475000.0
Travel,11,5850000.0
Uncertain/Other,23,5490000.0
Automotive,17,5465000.0
Liquor/Alcohol,11,3625000.0
Electronics,18,3104000.0
Green/CleanTech,14,2150000.0
